id,PageRankScore,PageRankRank
330,0.0021099574254330763,1
178,0.001954057434866006,2
1472,0.0017139435486085706,3
3001,0.001380733115424205,4
2816,0.001367100457586191,5
1020,0.0013133046663476458,6
1188,0.0012913877303447757,7
191,0.0012092273046519018,8
41,0.001198502897723527,9
3253,0.0011674400536470422,10
2328,0.0011270989271521207,11
1282,0.0011154577858204938,12
1853,0.0011107006274610229,13
121,0.0011084504302966893,14
2852,0.0011018335237552646,15
3161,0.0010587486835880754,16
3758,0.0010202632369892928,17
632,0.0009823997961547171,18
3555,0.0009756029325066379,19
2784,0.0009246050330512972,20
2587,0.0009078538465106661,21
54,0.0009070330732966022,22
3862,0.0008992886668547081,23
4483,0.0008873326314973351,24
1410,0.0008654714008572952,25
937,0.0008634865341392961,26
2458,0.0008502464700716323,27
2416,0.0008244445781315324,28
3292,0.0008184948668010954,29
3840,0.0008151124061886686,30
709,0.0008149979740679502,31
1885,0.0008004061795260281,32
3906,0.0007987378024788529,33
1904,0.0007926432241302819,34
2319,0.000784145694123074,35
2686,0.000776114712567188,36
3294,0.0007741807732976366,37
1901,0.0007679788534709085,38
549,0.0007584564353989272,39
2044,0.0007553343449792755,40
2732,0.0007365999936422634,41
2747,0.0007359000106918651,42
2187,0.0007341032217022073,43
618,0.0007214056946695409,44
1702,0.0007134681220055032,45
6335,0.000707414562934577,46
6464,0.0007025765340499246,47
6348,0.0007022399640107935,48
458,0.0006991089261658145,49
4803,0.0006960341159802672,50
5014,0.0006959205395590898,51
3011,0.0006930289382727008,52
424,0.0006907836397844723,53
4400,0.0006890814845293113,54
2650,0.0006820580267458007,55
678,0.000678166810713616,56
1573,0.0006713408291409629,57
2093,0.0006702376853945124,58
200,0.000669871559929629,59
1464,0.0006650182338378636,60
2391,0.0006635527200331296,61
6446,0.0006619931357006761,62
4509,0.0006598713789716603,63
1814,0.0006595650138241648,64
1952,0.0006559890144469143,65
2139,0.0006317088389476522,66
6452,0.000631378754316653,67
2186,0.0006293092016013006,68
47,0.0006278182355238249,69
350,0.000622430480906577,70
2572,0.0006158909946060216,71
2794,0.0006077918048643699,72
1766,0.0006070220741801851,73
4185,0.0006039134472596521,74
530,0.0006032723884916254,75
2238,0.0005913546670580478,76
562,0.000587368774285152,77
941,0.0005857045914160418,78
1670,0.000583881224181893,79
6449,0.0005812422208189086,80
3605,0.0005626013155555889,81
2125,0.0005569873274118827,82
998,0.000555592183550596,83
1966,0.000555253291307263,84
2978,0.0005538691835470298,85
1183,0.000552332165529525,86
99,0.0005523002072779349,87
1523,0.0005512751206038439,88
558,0.0005503992140674666,89
2237,0.0005490620756500996,90
5571,0.0005484470155935157,91
248,0.000546045597261016,92
1621,0.000544001927763678,93
1954,0.0005438064942137047,94
1925,0.0005408134926540427,95
3773,0.0005395928048360156,96
3679,0.0005381188642043086,97
7222,0.0005324734833007835,98
3387,0.000530495885910199,99
2019,0.0005297821037590685,100
5417,0.0005297667254590227,101
865,0.0005289702846616713,102
3453,0.0005263369552526511,103
2966,0.0005262099685472036,104
3304,0.0005252550606500595,105
2459,0.0005239877128665627,106
2108,0.0005214633311667093,107
1761,0.0005178867248344153,108
3964,0.0005171227139840515,109
5523,0.0005159650283853871,110
1431,0.0005154415881132951,111
7154,0.0005153947343894898,112
2056,0.0005137792234047032,113
1370,0.0005134175367395782,114
1603,0.000510604002520642,115
326,0.0005098006494468443,116
3963,0.0005089584858594465,117
21,0.0005084810600102625,118
2329,0.0005066647260478688,119
1346,0.0005029918777421182,120
3606,0.0005002183022891987,121
583,0.0004994603388057443,122
3959,0.0004994325014330636,123
1323,0.0004954829530370172,124
3849,0.0004954519902013972,125
3630,0.0004951237961653418,126
578,0.0004905267997816445,127
2205,0.0004901321879129577,128
3559,0.0004889712157131373,129
1019,0.000488825088365916,130
3309,0.00048825952116848386,131
2419,0.00048786232393730454,132
2468,0.0004868278451608547,133
26,0.00048635017902609254,134
2385,0.00048565935478029823,135
3543,0.0004853117958141183,136
46,0.0004836292837682897,137
3422,0.0004826687136096701,138
2378,0.0004809756252666679,139
3658,0.0004800650167594232,140
893,0.00047965885032502,141
3378,0.0004776131234012067,142
473,0.00047385762729314267,143
2150,0.0004718772714352972,144
7509,0.0004700852742599334,145
1989,0.0004698007021268087,146
1361,0.0004683937248782444,147
4355,0.0004677792325809732,148
4596,0.00046728324765378483,149
4633,0.0004671721450224851,150
3514,0.000466801053202507,151
539,0.0004661033479684466,152
5303,0.00046569994096690826,153
2384,0.00046554630171562634,154
4356,0.00046383095014481985,155
844,0.00046167262877076917,156
2045,0.0004606770789007314,157
3986,0.00045913971109685497,158
1820,0.0004589780128510952,159
1285,0.00045853131965655446,160
2850,0.0004563562174410868,161
4876,0.00045581294511749245,162
388,0.0004553511503111243,163
2133,0.0004551794013648591,164
1912,0.00045506888111507965,165
1357,0.00045446956832789016,166
3282,0.00045440877420727143,167
4,0.0004539186474382756,168
2940,0.00044874382822813856,169
4638,0.0004486346578646117,170
1786,0.0004482389796704018,171
2047,0.00044682731443350734,172
1474,0.0004464370653717593,173
293,0.00044627113951806066,174
754,0.0004425212007889724,175
4972,0.00044226996142039264,176
40,0.0004412381070858882,177
6487,0.00043981827259059975,178
748,0.00043734456162799676,179
1606,0.00043731762065664414,180
1935,0.00043406240975354016,181
2826,0.000432526442340662,182
2277,0.0004324858348335657,183
3221,0.0004322037737022684,184
4917,0.0004317960571270334,185
7192,0.00042931059974741614,186
3110,0.0004287779891623864,187
1046,0.0004269941863142487,188
2173,0.0004241028876305623,189
2521,0.00042329075439620685,190
1259,0.0004218020950626073,191
4516,0.0004213103661499951,192
4679,0.00042116281244865424,193
3584,0.0004196837981836983,194
4280,0.00041958842213797614,195
3108,0.0004191806623984434,196
2220,0.0004187354950475183,197
3341,0.00041756311576448727,198
1601,0.0004163004977589412,199
7161,0.00041568013972926844,200
3380,0.0004154671231967087,201
6907,0.0004154655348079421,202
4025,0.00041545615091794977,203
2866,0.0004151350746509923,204
759,0.00041493621760600437,205
3174,0.00041343631417029757,206
325,0.0004132498951660495,207
4783,0.000412162988235167,208
976,0.00041213996308023915,209
5148,0.0004117448913238504,210
2591,0.0004113465438385156,211
6286,0.00041024166099932764,212
4609,0.0004091496378220377,213
1253,0.00040797612679116025,214
3602,0.000407706549432627,215
3735,0.00040723928434593167,216
2539,0.00040295561865058316,217
2398,0.0004026390969500716,218
5356,0.00040049687982355507,219
413,0.00039863090866432686,220
1265,0.00039587034865186285,221
1612,0.0003951164196261632,222
1201,0.00039459277511130905,223
575,0.00039369759047806974,224
4297,0.0003933406699273952,225
3842,0.0003929724863490794,226
710,0.00039289596813884463,227
3620,0.0003922072885384195,228
1591,0.00039179565462247977,229
2630,0.0003917210854532752,230
2554,0.0003914300954365227,231
3472,0.00039118541755920217,232
5231,0.0003901187952795836,233
309,0.00039001310067949776,234
